,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.4523),tensor(0.8964),tensor(0.0447),tensor(3.8700),tensor(0.9886),tensor(0.)
0,0.01,tensor(2.5945),tensor(0.9159),tensor(0.0281),tensor(3.8768),tensor(0.9932),tensor(0.)
0,0.01,tensor(2.4218),tensor(0.8923),tensor(0.0716),tensor(3.8668),tensor(0.9923),tensor(0.)
0,0.01,tensor(2.4532),tensor(0.8909),tensor(0.0651),tensor(3.8673),tensor(0.9905),tensor(0.)
0,0.01,tensor(2.5400),tensor(0.9127),tensor(0.0613),tensor(3.8764),tensor(0.9932),tensor(0.)
0,0.01,tensor(2.4982),tensor(0.8936),tensor(0.0577),tensor(3.8791),tensor(0.9936),tensor(0.)
0,0.01,tensor(2.5450),tensor(0.9091),tensor(0.0449),tensor(3.8732),tensor(0.9914),tensor(0.)
0,0.01,tensor(2.5618),tensor(0.9123),tensor(0.0573),tensor(3.8800),tensor(0.9923),tensor(0.)
0,0.01,tensor(2.5077),tensor(0.9064),tensor(0.0395),tensor(3.8750),tensor(0.9923),tensor(0.)
0,0.01,tensor(2.5159),tensor(0.9027),tensor(0.0622),tensor(3.8455),tensor(0.9886),tensor(0.)
0,0.05,tensor(2.4264),tensor(0.8945),tensor(0.0390),tensor(2.6982),tensor(0.9132),tensor(0.0236)
0,0.05,tensor(2.4695),tensor(0.8941),tensor(0.0340),tensor(2.8777),tensor(0.9386),tensor(0.0219)
0,0.05,tensor(2.4868),tensor(0.9000),tensor(0.0706),tensor(2.5823),tensor(0.9023),tensor(0.0347)
0,0.05,tensor(2.3782),tensor(0.8823),tensor(0.0766),tensor(2.9864),tensor(0.9186),tensor(0.0214)
0,0.05,tensor(2.5323),tensor(0.9055),tensor(0.0668),tensor(2.7041),tensor(0.9132),tensor(0.0355)
0,0.05,tensor(2.4045),tensor(0.8827),tensor(0.0628),tensor(2.7132),tensor(0.9032),tensor(0.0274)
0,0.05,tensor(2.5014),tensor(0.8991),tensor(0.0495),tensor(2.6514),tensor(0.9064),tensor(0.0299)
0,0.05,tensor(2.5391),tensor(0.9145),tensor(0.0401),tensor(2.8341),tensor(0.9223),tensor(0.0321)
0,0.05,tensor(2.5464),tensor(0.9109),tensor(0.0423),tensor(2.8114),tensor(0.9186),tensor(0.0238)
0,0.05,tensor(2.5768),tensor(0.9082),tensor(0.0574),tensor(2.7791),tensor(0.9264),tensor(0.0341)
0,0.1,tensor(2.5268),tensor(0.9018),tensor(0.0461),tensor(2.5268),tensor(0.9018),tensor(0.0461)
0,0.1,tensor(2.5268),tensor(0.8995),tensor(0.0502),tensor(2.5605),tensor(0.9014),tensor(0.0502)
0,0.1,tensor(2.5109),tensor(0.9000),tensor(0.0727),tensor(2.5109),tensor(0.9000),tensor(0.0727)
0,0.1,tensor(2.4095),tensor(0.8864),tensor(0.0744),tensor(2.4095),tensor(0.8864),tensor(0.0744)
0,0.1,tensor(2.5500),tensor(0.9136),tensor(0.0699),tensor(2.5500),tensor(0.9136),tensor(0.0699)
0,0.1,tensor(2.4168),tensor(0.8841),tensor(0.0616),tensor(2.4168),tensor(0.8841),tensor(0.0616)
0,0.1,tensor(2.5191),tensor(0.9005),tensor(0.0463),tensor(2.5191),tensor(0.9005),tensor(0.0463)
0,0.1,tensor(2.5600),tensor(0.9177),tensor(0.0483),tensor(2.5859),tensor(0.9209),tensor(0.0421)
0,0.1,tensor(2.4832),tensor(0.9091),tensor(0.0343),tensor(2.4832),tensor(0.9091),tensor(0.0343)
0,0.1,tensor(2.5977),tensor(0.9118),tensor(0.0554),tensor(2.6227),tensor(0.9118),tensor(0.0441)
0,0.15,tensor(2.4182),tensor(0.8945),tensor(0.0494),tensor(2.4182),tensor(0.8945),tensor(0.0494)
0,0.15,tensor(2.5159),tensor(0.9077),tensor(0.0306),tensor(2.5159),tensor(0.9077),tensor(0.0306)
0,0.15,tensor(2.4623),tensor(0.8991),tensor(0.0684),tensor(2.4623),tensor(0.8991),tensor(0.0684)
0,0.15,tensor(2.2932),tensor(0.8686),tensor(0.0763),tensor(2.2932),tensor(0.8686),tensor(0.0763)
0,0.15,tensor(2.5373),tensor(0.9091),tensor(0.0649),tensor(2.5373),tensor(0.9091),tensor(0.0649)
0,0.15,tensor(2.4223),tensor(0.8891),tensor(0.0542),tensor(2.4223),tensor(0.8891),tensor(0.0542)
0,0.15,tensor(2.5159),tensor(0.9032),tensor(0.0387),tensor(2.5159),tensor(0.9032),tensor(0.0387)
0,0.15,tensor(2.5832),tensor(0.9214),tensor(0.0448),tensor(2.5832),tensor(0.9214),tensor(0.0448)
0,0.15,tensor(2.5168),tensor(0.9009),tensor(0.0396),tensor(2.5168),tensor(0.9009),tensor(0.0396)
0,0.15,tensor(2.5732),tensor(0.9118),tensor(0.0636),tensor(2.5732),tensor(0.9118),tensor(0.0636)
0,0.2,tensor(2.4464),tensor(0.8923),tensor(0.0499),tensor(2.4464),tensor(0.8923),tensor(0.0499)
0,0.2,tensor(2.5059),tensor(0.9082),tensor(0.0660),tensor(2.5059),tensor(0.9082),tensor(0.0660)
0,0.2,tensor(2.4186),tensor(0.8950),tensor(0.0698),tensor(2.4186),tensor(0.8950),tensor(0.0698)
0,0.2,tensor(2.4064),tensor(0.8814),tensor(0.0685),tensor(2.4064),tensor(0.8814),tensor(0.0685)
0,0.2,tensor(2.4982),tensor(0.9041),tensor(0.0643),tensor(2.4982),tensor(0.9041),tensor(0.0643)
0,0.2,tensor(2.3882),tensor(0.8886),tensor(0.0651),tensor(2.3882),tensor(0.8886),tensor(0.0651)
0,0.2,tensor(2.4918),tensor(0.8995),tensor(0.0416),tensor(2.4918),tensor(0.8995),tensor(0.0416)
0,0.2,tensor(2.5814),tensor(0.9173),tensor(0.0487),tensor(2.5814),tensor(0.9173),tensor(0.0487)
0,0.2,tensor(2.5595),tensor(0.9059),tensor(0.0391),tensor(2.5595),tensor(0.9059),tensor(0.0391)
0,0.2,tensor(2.5018),tensor(0.9027),tensor(0.0557),tensor(2.5018),tensor(0.9027),tensor(0.0557)
